format,total_rows,valid_trajectory_rows,unique_matches,unique_bowlers,unique_batters,wides,no_balls,speed_valid_count,speed_min_kmh,speed_max_kmh,speed_mean_kmh,bowling_styles,has_fieldXY
IPL_Men,149424,140797,628,342,425,4426,544,137086,14.1,156.2,116.1,"{'FAST_SEAM': 35201, 'MEDIUM_SEAM': 34806, 'SEAM': 32870, 'LEG_SPIN': 18385, 'OFF_SPIN': 14345, 'ORTHODOX': 12556, 'UNORTHODOX': 1261}",146018
ODI_Men,439105,288628,822,588,756,9908,902,276961,7.1,178.0,114.7,"{'FAST_SEAM': 139766, 'MEDIUM_SEAM': 66066, 'OFF_SPIN': 61001, 'LEG_SPIN': 34575, 'ORTHODOX': 32941, 'UNORTHODOX': 5513}",390297
Test_Men,527165,377236,317,264,513,1056,1814,364524,1.4,170.4,111.9,"{'FAST_SEAM': 241585, 'OFF_SPIN': 110106, 'ORTHODOX': 74423, 'MEDIUM_SEAM': 63704, 'LEG_SPIN': 33436, 'UNORTHODOX': 3815}",461052
IPL_Women,2096,2009,9,32,44,52,5,1974,54.9,119.7,84.2,"{'MEDIUM_SEAM': 580, 'OFF_SPIN': 573, 'ORTHODOX': 500, 'LEG_SPIN': 239, 'FAST_SEAM': 204}",2084
ODI_Women,9403,8920,23,55,130,202,17,8840,53.2,122.1,89.8,"{'FAST_SEAM': 2644, 'OFF_SPIN': 2375, 'MEDIUM_SEAM': 2260, 'ORTHODOX': 1470, 'LEG_SPIN': 654}",0
Test_Women,3909,3113,2,22,32,4,8,3058,59.0,120.6,88.3,"{'ORTHODOX': 1256, 'OFF_SPIN': 1024, 'FAST_SEAM': 830, 'MEDIUM_SEAM': 793, 'LEG_SPIN': 6}",0
